"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.685768789E1	3.484106064E-2	-3.483515978E-2	-1.812171936E-2	5.249556720E-2
1.686568675E1	1.402378082E-3	-5.412533879E-2	-3.972196579E-2	6.715172023E-2
1.687368918E1	6.484508514E-3	-4.500833154E-2	-4.231166840E-2	6.211341273E-2
1.688168918E1	-7.465362549E-3	-3.130707145E-2	-1.385736465E-2	3.504127446E-2
1.688969136E1	-4.054117203E-2	-4.158040881E-2	1.697206497E-2	6.050262817E-2
1.689769492E1	-3.036689758E-2	-2.564540505E-2	-1.695013046E-2	4.321044077E-2
1.690569937E1	-9.689331055E-4	-1.941400766E-2	-1.979303360E-2	2.774178624E-2
1.691370421E1	1.654958725E-2	-1.072752476E-2	-2.989006042E-2	3.581039427E-2
1.692170859E1	-2.050399780E-3	-1.392453909E-2	-2.786874771E-2	3.122121117E-2
1.692971418E1	1.046657562E-2	-3.654956818E-4	-3.302192688E-2	3.464289894E-2
1.693771871E1	1.332950592E-2	-8.240014315E-3	-2.136468887E-2	2.649572597E-2
1.694572398E1	2.331542969E-2	-6.353020668E-3	-2.403783798E-2	3.408500826E-2
1.695372988E1	2.590656281E-2	1.731586456E-2	1.653146744E-2	3.527433313E-2
1.696173695E1	3.298902512E-2	1.706066728E-2	2.859020233E-2	4.686941236E-2
1.696974379E1	1.621484756E-2	1.704531908E-2	-4.915714264E-3	2.403390170E-2
1.697774839E1	-1.285648346E-2	1.697757840E-2	1.296997070E-4	2.129657619E-2
1.698575292E1	-8.798122406E-3	1.462173462E-2	3.419113159E-2	3.821302868E-2
1.699375523E1	-4.939556122E-3	9.947985411E-3	3.009128571E-2	3.207564658E-2
1.700175714E1	-3.007745743E-2	7.524639368E-3	2.619647980E-2	4.058976714E-2
1.700975820E1	-4.820728302E-2	-2.083599567E-3	8.854866028E-4	4.826041452E-2
1.701776070E1	-6.164073944E-2	2.545595169E-3	-2.435016632E-2	6.632489286E-2
1.702576429E1	-8.493900299E-2	-2.412855625E-3	-1.345586777E-2	8.603206657E-2
1.703376343E1	-9.646654129E-2	1.177796721E-2	-2.635240555E-2	1.006924197E-1
1.704176328E1	-1.007728577E-1	3.078478575E-2	-3.449153900E-2	1.108717193E-1
1.704976769E1	-6.678724289E-2	2.369058132E-2	-6.657123566E-2	9.722915650E-2
1.705777144E1	-3.541135788E-2	1.179471612E-2	-8.412361145E-2	9.203185100E-2
1.706577191E1	-2.812004089E-2	1.422521472E-2	-5.368232727E-2	6.224857986E-2
1.707377418E1	-2.558803558E-2	1.670336723E-2	-4.002380371E-2	5.035528677E-2
1.708177386E1	-3.698348999E-3	7.219731808E-3	-3.369998932E-2	3.466253875E-2
1.708977625E1	1.897335052E-3	-1.670226455E-2	-4.208660126E-2	4.531939460E-2
1.709777632E1	5.451202393E-3	-3.615072370E-2	-6.748056412E-2	7.674774892E-2
1.710578097E1	-1.693058014E-2	-4.367810488E-2	-6.204700470E-2	7.774478878E-2
1.711378511E1	-2.219915390E-2	-4.165777564E-2	-6.406164169E-2	7.957428380E-2
1.712178539E1	-2.495193481E-2	-5.641198158E-2	-5.898284912E-2	8.534569238E-2
1.712978683E1	-4.635953903E-2	-4.725259542E-2	-6.864309311E-2	9.536188371E-2
