"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1764980055.766	"2025-12-05 21:14:15.766 UTC-03:00"
"PAUSE"	2.175182161E2	1764980273.284	"2025-12-05 21:17:53.284 UTC-03:00"
