"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1764814599.784	"2025-12-03 23:16:39.784 UTC-03:00"
"PAUSE"	2.178166305E2	1764814817.601	"2025-12-03 23:20:17.601 UTC-03:00"
