"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.068844886E1	2.389706671E-3	1.725116372E-2	1.646900177E-2	2.396959255E-2
1.069644624E1	2.401091158E-3	1.004609466E-2	3.322887421E-2	3.479723175E-2
1.070444433E1	-3.324449062E-5	2.894341946E-3	3.801727295E-2	3.812730469E-2
1.071244245E1	7.200062275E-3	1.489824057E-2	2.125644684E-2	2.693761313E-2
1.072043992E1	2.464756370E-3	1.727089286E-2	3.801536560E-2	4.182734495E-2
1.072843976E1	2.454221249E-5	7.819831371E-3	2.604198456E-2	2.719072130E-2
1.073643968E1	-2.320423722E-3	5.520880222E-3	3.322029114E-2	3.375577325E-2
1.074443824E1	4.960671067E-3	-1.710712910E-3	2.603912354E-2	2.656258178E-2
1.075243566E1	2.188235521E-4	1.260712743E-2	4.519367218E-2	4.691967126E-2
1.076043324E1	-7.011666894E-3	5.520313978E-3	4.040241241E-2	4.137622830E-2
1.076843253E1	2.470701933E-3	1.524022222E-2	2.364063263E-2	2.823558486E-2
1.077643097E1	-9.548179805E-3	3.173500299E-3	4.040336609E-2	4.163737303E-2
1.078443011E1	-4.665352404E-3	8.276402950E-4	4.040050507E-2	4.067740541E-2
1.079243413E1	2.469360828E-3	8.058190346E-3	3.082370758E-2	3.195517366E-2
1.080043745E1	-2.268426120E-3	8.152991533E-3	3.560829163E-2	3.660010192E-2
1.080844160E1	-4.711903632E-3	8.153468370E-3	2.603244781E-2	2.768337807E-2
1.081644566E1	2.202913165E-4	5.759298801E-3	2.124214172E-2	2.201014848E-2
1.082444945E1	-4.663966596E-3	8.153498173E-3	3.081989288E-2	3.221952691E-2
1.083245027E1	7.260471582E-3	1.018285751E-3	3.800106049E-2	3.870183396E-2
1.084045359E1	-2.412162721E-3	1.064300537E-2	2.842426300E-2	3.044718081E-2
1.084845449E1	-1.111105084E-4	1.313194633E-2	3.321075439E-2	3.571294677E-2
1.085645281E1	2.284422517E-3	8.390903473E-3	2.123928070E-2	2.295066213E-2
1.086445175E1	2.284422517E-3	1.088088751E-2	2.841854095E-2	3.051599202E-2
1.087245117E1	-1.207944751E-2	8.486151695E-3	2.841854095E-2	3.202407364E-2
1.088045031E1	-1.222447306E-2	1.566931605E-2	2.363204956E-2	3.087780714E-2
1.088844702E1	6.930477917E-3	1.327458024E-2	1.884365082E-2	2.406925800E-2
1.089644691E1	-9.827598929E-3	6.043523550E-3	3.081607819E-2	3.290496243E-2
1.090444410E1	-2.692893147E-3	6.091415882E-3	2.363204956E-2	2.455261264E-2
1.091244519E1	-7.529176772E-3	6.091445684E-3	2.842140198E-2	3.002616032E-2
1.092044597E1	-7.530525327E-3	1.073664427E-2	3.560829163E-2	3.794647249E-2
1.092844499E1	1.162175834E-2	1.256227493E-3	2.602958679E-2	2.853388798E-2
1.093644320E1	2.092845738E-3	8.582502604E-3	1.884174347E-2	2.080986908E-2
1.094444187E1	4.443161190E-3	6.282448769E-3	2.362728119E-2	2.484872754E-2
1.095244218E1	-1.001918316E-2	8.772969246E-3	2.602005005E-2	2.922998503E-2
1.096043859E1	-7.767356932E-3	1.375243068E-2	3.798770905E-2	4.114033570E-2
1.096843863E1	-7.621042430E-3	9.010791779E-3	3.319644928E-2	3.523178822E-2
1.097643886E1	-2.929791808E-3	9.059250355E-3	1.404190063E-2	1.696551415E-2
1.098444324E1	-5.418464541E-3	8.915007114E-3	2.123069763E-2	2.365543557E-2
1.099244519E1	-3.113314509E-3	1.383441687E-2	1.643943787E-2	2.171034165E-2
1.100044706E1	-3.054477274E-3	1.624929905E-2	3.559112549E-2	3.924407936E-2
1.100844640E1	-5.438119173E-3	9.042173624E-3	2.362155914E-2	2.587106686E-2
1.101644386E1	-3.036610782E-3	1.381513476E-2	2.840995789E-2	3.173648784E-2
1.102444187E1	-1.015687734E-2	9.049534798E-3	2.840805054E-2	3.149719944E-2
1.103243691E1	-7.844328880E-3	1.859757304E-2	2.601623535E-2	3.292791704E-2
1.104042999E1	-5.436986685E-3	1.862704754E-3	4.038047791E-2	4.078741827E-2
1.104842480E1	-6.420761347E-4	1.846206188E-2	3.080844879E-2	3.592242347E-2
1.105642277E1	-5.370825529E-3	8.863002062E-3	2.841377258E-2	3.024468622E-2
1.106441824E1	-2.919010818E-3	1.597753167E-2	1.165580750E-2	1.999149796E-2
1.107241269E1	-4.649311304E-4	1.121079922E-2	2.362537384E-2	2.615447321E-2
1.108040738E1	4.233308136E-3	1.611757278E-2	2.841091156E-2	3.293747024E-2
1.108840558E1	-1.007519662E-2	6.472378969E-3	2.601814270E-2	2.864166591E-2
1.109640050E1	-3.027111292E-3	2.325177193E-2	2.601909637E-2	3.502572878E-2
1.110439699E1	-3.113314509E-3	1.374471188E-2	2.601909637E-2	2.959059323E-2
1.111239214E1	1.539424062E-3	1.366391778E-2	2.841663361E-2	3.156861639E-2
1.112039011E1	6.334140897E-3	8.752912283E-3	3.320789337E-2	3.492132581E-2
1.112838538E1	-1.037227362E-2	1.356661320E-2	3.081321716E-2	3.522912723E-2
1.113638214E1	1.559726894E-3	1.597416401E-2	2.841854095E-2	3.263771030E-2
1.114438148E1	-7.315650582E-4	1.630187035E-3	2.123451233E-2	2.130955680E-2
1.115238050E1	-6.765350699E-4	1.352387667E-2	4.517841339E-2	4.716399025E-2
1.116037937E1	-1.014981419E-2	1.828396320E-2	3.560066223E-2	4.128836628E-2
1.116837484E1	-2.910986543E-3	1.117077470E-2	2.123355865E-2	2.416865870E-2
1.117637183E1	-5.393363535E-3	1.349607110E-2	2.841854095E-2	3.191936364E-2
1.118436788E1	-7.822252810E-3	1.111647487E-2	2.841758728E-2	3.150115743E-2
1.119236550E1	6.548732519E-3	1.108849049E-2	3.081321716E-2	3.339603076E-2
